stateCode,state, popEst2014 
AL,Alabama," 4,849,377 "
AK,Alaska," 736,732 "
AZ,Arizona," 6,731,484 "
AR,Arkansas," 2,966,369 "
CA,California," 38,802,500 "
CO,Colorado," 5,355,866 "
CT,Connecticut," 3,596,677 "
DE,Delaware," 935,614 "
DC,District of Columbia," 658,893 "
FL,Florida," 19,893,297 "
GA,Georgia," 10,097,343 "
HI,Hawaii," 1,419,561 "
ID,Idaho," 1,634,464 "
IL,Illinois," 12,880,580 "
IN,Indiana," 6,596,855 "
IA,Iowa," 3,107,126 "
KS,Kansas," 2,904,021 "
KY,Kentucky," 4,413,457 "
LA,Louisiana," 4,649,676 "
ME,Maine," 1,330,089 "
MD,Maryland," 5,976,407 "
MA,Massachusetts," 6,745,408 "
MI,Michigan," 9,909,877 "
MN,Minnesota," 5,457,173 "
MS,Mississippi," 2,994,079 "
MO,Missouri," 6,063,589 "
MT,Montana," 1,023,579 "
NE,Nebraska," 1,881,503 "
NV,Nevada," 2,839,099 "
NH,New Hampshire," 1,326,813 "
NJ,New Jersey," 8,938,175 "
NM,New Mexico," 2,085,572 "
NY,New York," 19,746,227 "
NC,North Carolina," 9,943,964 "
ND,North Dakota," 739,482 "
OH,Ohio," 11,594,163 "
OK,Oklahoma," 3,878,051 "
OR,Oregon," 3,970,239 "
PA,Pennsylvania," 12,787,209 "
RI,Rhode Island," 1,055,173 "
SC,South Carolina," 4,832,482 "
SD,South Dakota," 853,175 "
TN,Tennessee," 6,549,352 "
TX,Texas," 26,956,958 "
UT,Utah," 2,942,902 "
VT,Vermont," 626,562 "
VA,Virginia," 8,326,289 "
WA,Washington," 7,061,530 "
WV,West Virginia," 1,850,326 "
WI,Wisconsin," 5,757,564 "
WY,Wyoming," 584,153 "
